,H2S2,CV,ASV
ASV3_ANPR,0.7435820491670826,1,ASV3_ANPR
ASV17_ANPR,0.1263897155406131,1,ASV17_ANPR
ASV22_Mesorhizobium,0.0851713123169943,1,ASV22_Mesorhizobium
ASV9_ANPR,0.08091692747395648,1,ASV9_ANPR
ASV32_ANPR,0.0594506977982279,1,ASV32_ANPR
ASV11_unknown,0.048047873584159725,1,ASV11_unknown
ASV12_Mesorhizobium,0.04125264965068824,1,ASV12_Mesorhizobium
ASV36_Mesorhizobium,0.037014678480435,1,ASV36_Mesorhizobium
ASV8_Mesorhizobium,0.03567636287005916,1,ASV8_Mesorhizobium
ASV21_ANPR,0.02962656401552816,1,ASV21_ANPR
ASV18_ANPR,0.029082130955151556,1,ASV18_ANPR
ASV27_unknown,0.02605691312808669,1,ASV27_unknown
ASV50_ANPR,0.02568506855475561,1,ASV50_ANPR
ASV51_Mesorhizobium,0.0252975624595962,1,ASV51_Mesorhizobium
ASV53_ANPR,0.0244086777959463,1,ASV53_ANPR
ASV55_ANPR,0.0236861619196106,1,ASV55_ANPR
ASV59_ANPR,0.0218085713199224,1,ASV59_ANPR
ASV33_ANPR,0.01930274615027481,1,ASV33_ANPR
ASV63_unknown,0.0191561775107427,1,ASV63_unknown
ASV39_unknown,0.01897674795173307,1,ASV39_unknown
ASV15_Mesorhizobium,0.018784260503807198,1,ASV15_Mesorhizobium
ASV66_Mesorhizobium,0.0167509601855725,1,ASV66_Mesorhizobium
ASV34_ANPR,0.012138922079857704,1,ASV34_ANPR
ASV31_Mesorhizobium,0.010643402701491441,1,ASV31_Mesorhizobium
ASV97_ANPR,0.00944024033159676,1,ASV97_ANPR
ASV72_ANPR,0.007886114921394656,1,ASV72_ANPR
ASV49_ANPR,0.007731280494555682,1,ASV49_ANPR
ASV37_unknown,0.0075897286560295835,1,ASV37_unknown
ASV84_Mesorhizobium,0.007519869186599229,1,ASV84_Mesorhizobium
ASV61_ANPR,0.007371609190573551,1,ASV61_ANPR
ASV109_Mesorhizobium,0.00735825379320835,1,ASV109_Mesorhizobium
ASV117_ANPR,0.007115830703122029,1,ASV117_ANPR
ASV68_Mesorhizobium,0.00707822199149341,1,ASV68_Mesorhizobium
ASV120_ANPR,0.0065311632505609,1,ASV120_ANPR
ASV26_Mesorhizobium,0.00645510894778872,1,ASV26_Mesorhizobium
ASV78_ANPR,0.006120657736489772,1,ASV78_ANPR
ASV121_Mesorhizobium,0.00595124919192303,1,ASV121_Mesorhizobium
ASV89_ANPR,0.005370001818705701,1,ASV89_ANPR
ASV75_ANPR,0.005072092110948272,1,ASV75_ANPR
ASV142_unknown,0.0047914210746473,1,ASV142_unknown
ASV106_Mesorhizobium,0.004623210392306528,1,ASV106_Mesorhizobium
ASV71_unknown,0.0046092543358961496,1,ASV71_unknown
ASV158_Mesorhizobium,0.0038454956839183204,1,ASV158_Mesorhizobium
ASV82_ANPR,0.0038385032829455533,1,ASV82_ANPR
ASV160_Mesorhizobium,0.00383123550214853,1,ASV160_Mesorhizobium
ASV170_Mesorhizobium,0.00353652507890634,1,ASV170_Mesorhizobium
ASV185_unknown,0.0034794843518272,1,ASV185_unknown
ASV126_unknown,0.0032877707157326947,1,ASV126_unknown
ASV95_ANPR,0.0030749371530406065,1,ASV95_ANPR
ASV218_Variovorax,0.00251345837122981,1,ASV218_Variovorax
ASV254_ANPR,0.00238620374947713,1,ASV254_ANPR
ASV176_unknown,0.002304586313422338,1,ASV176_unknown
ASV154_ANPR,0.002299374582263868,1,ASV154_ANPR
ASV247_Mesorhizobium,0.0022673689013956,1,ASV247_Mesorhizobium
ASV133_ANPR,0.002020363012922197,1,ASV133_ANPR
ASV281_Mesorhizobium,0.0018918507814579602,1,ASV281_Mesorhizobium
ASV162_ANPR,0.001834258207468818,1,ASV162_ANPR
ASV60_Mesorhizobium,0.0017190684089024382,1,ASV60_Mesorhizobium
ASV178_unknown,0.001647789762730589,1,ASV178_unknown
ASV139_ANPR,0.001502235103299625,1,ASV139_ANPR
ASV348_unknown,0.00136422405597597,1,ASV348_unknown
ASV137_ANPR,0.0012025562323596671,1,ASV137_ANPR
ASV153_ANPR,0.0011302580905685519,1,ASV153_ANPR
ASV646_ANPR,0.0010648828623000552,1,ASV646_ANPR
ASV118_Mesorhizobium,0.00104532599886128,1,ASV118_Mesorhizobium
ASV380_ANPR,0.000982032729186798,1,ASV380_ANPR
ASV261_ANPR,0.000850066296361253,1,ASV261_ANPR
ASV87_Mesorhizobium,0.000755789633798532,1,ASV87_Mesorhizobium
ASV215_Mesorhizobium,0.0007270500585640761,1,ASV215_Mesorhizobium
ASV748_Mesorhizobium,0.000632201391793741,1,ASV748_Mesorhizobium
ASV569_unknown,0.0005514728864709869,1,ASV569_unknown
ASV733_unknown,0.0005290231441449614,1,ASV733_unknown
ASV451_ANPR,0.000454757749317863,1,ASV451_ANPR
ASV920_ANPR,0.00042780545309350896,1,ASV920_ANPR
ASV869_ANPR,0.00041829866524698597,1,ASV869_ANPR
ASV197_Mesorhizobium,0.000408791877400464,1,ASV197_Mesorhizobium
