sample	ASV1_Mesorhizobium	ASV10_Mesorhizobium	ASV1018_Mesorhizobium	ASV1032_unknown	ASV104_Mesorhizobium	ASV1049_unknown	ASV106_Mesorhizobium	ASV108_Mesorhizobium	ASV109_Mesorhizobium	ASV11_unknown	ASV110_ANPR	ASV111_Mesorhizobium	ASV112_Mesorhizobium	ASV115_Mesorhizobium	ASV1168_ANPR	ASV117_ANPR	ASV118_Mesorhizobium	ASV1186_Mesorhizobium	ASV119_Rhizobacter	ASV1191_unknown	ASV12_Mesorhizobium	ASV120_ANPR	ASV121_Mesorhizobium	ASV1223_Mesorhizobium	ASV1224_Duganella	ASV124_Mesorhizobium	ASV125_unknown	ASV1257_unknown	ASV1258_ANPR	ASV126_unknown	ASV13_Mesorhizobium	ASV133_ANPR	ASV134_Mesorhizobium	ASV135_unknown	ASV137_ANPR	ASV139_ANPR	ASV1395_unknown	ASV1396_unknown	ASV14_Mesorhizobium	ASV141_Pseudomonas	ASV142_unknown	ASV1430_unknown	ASV1431_unknown	ASV144_ANPR	ASV1447_Rugamonas	ASV145_unknown	ASV146_unknown	ASV1464_unknown	ASV1481_unknown	ASV15_Mesorhizobium	ASV153_ANPR	ASV154_ANPR	ASV156_Duganella	ASV157_unknown	ASV158_Mesorhizobium	ASV16_Mesorhizobium	ASV160_Mesorhizobium	ASV161_Mesorhizobium	ASV162_ANPR	ASV165_Herbaspirillum	ASV166_Mesorhizobium	ASV17_ANPR	ASV170_Mesorhizobium	ASV171_Pseudomonas	ASV176_unknown	ASV178_unknown	ASV18_ANPR	ASV185_unknown	ASV186_Mesorhizobium	ASV188_Mesorhizobium	ASV19_Mesorhizobium	ASV197_Mesorhizobium	ASV2_Mesorhizobium	ASV20_Mesorhizobium	ASV202_unknown	ASV21_ANPR	ASV215_Mesorhizobium	ASV217_Mesorhizobium	ASV218_Variovorax	ASV22_Mesorhizobium	ASV229_Achromobacter	ASV23_Mesorhizobium	ASV231_Mesorhizobium	ASV234_Achromobacter	ASV24_Mesorhizobium	ASV244_ANPR	ASV247_Mesorhizobium	ASV249_Duganella	ASV25_Mesorhizobium	ASV250_Mesorhizobium	ASV254_ANPR	ASV26_Mesorhizobium	ASV261_ANPR	ASV27_unknown	ASV274_Mesorhizobium	ASV28_Pseudomonas	ASV281_Mesorhizobium	ASV29_Mesorhizobium	ASV292_Mesorhizobium	ASV295_Mesorhizobium	ASV3_ANPR	ASV30_Mesorhizobium	ASV306_Mesorhizobium	ASV307_unknown	ASV31_Mesorhizobium	ASV311_ANPR	ASV315_Duganella	ASV32_ANPR	ASV328_unknown	ASV33_ANPR	ASV336_Mesorhizobium	ASV338_Aminobacter	ASV34_ANPR	ASV343_Mesorhizobium	ASV348_unknown	ASV35_Mesorhizobium	ASV358_Mesorhizobium	ASV359_Mesorhizobium	ASV36_Mesorhizobium	ASV37_unknown	ASV375_unknown	ASV38_Mesorhizobium	ASV380_ANPR	ASV382_Mesorhizobium	ASV386_unknown	ASV39_unknown	ASV391_Duganella	ASV392_unknown	ASV396_unknown	ASV4_Mesorhizobium	ASV401_Caulobacter	ASV403_ANPR	ASV41_unknown	ASV421_unknown	ASV426_unknown	ASV427_ANPR	ASV43_unknown	ASV435_Mesorhizobium	ASV44_Mesorhizobium	ASV45_Mesorhizobium	ASV451_ANPR	ASV458_unknown	ASV47_Mesorhizobium	ASV474_Mesorhizobium	ASV48_Pseudomonas	ASV49_ANPR	ASV498_unknown	ASV5_Mesorhizobium	ASV50_ANPR	ASV503_unknown	ASV504_Mesorhizobium	ASV51_Mesorhizobium	ASV519_Methylovorus	ASV523_unknown	ASV53_ANPR	ASV534_Cutibacterium	ASV55_ANPR	ASV56_ANPR	ASV560_unknown	ASV569_unknown	ASV57_Pseudomonas	ASV58_ANPR	ASV581_unknown	ASV59_ANPR	ASV591_unknown	ASV6_Mesorhizobium	ASV60_Mesorhizobium	ASV61_ANPR	ASV626_Azorhizophilus	ASV63_unknown	ASV632_unknown	ASV637_ANPR	ASV64_Mesorhizobium	ASV646_ANPR	ASV66_Mesorhizobium	ASV667_unknown	ASV67_Mesorhizobium	ASV68_Mesorhizobium	ASV697_Mesorhizobium	ASV7_Mesorhizobium	ASV70_Caulobacter	ASV71_unknown	ASV717_Pseudomonas	ASV72_ANPR	ASV727_Mesorhizobium	ASV728_unknown	ASV733_unknown	ASV74_ANPR	ASV747_unknown	ASV748_Mesorhizobium	ASV75_ANPR	ASV756_Mesorhizobium	ASV76_Mesorhizobium	ASV77_Caulobacter	ASV78_ANPR	ASV79_Mesorhizobium	ASV8_Mesorhizobium	ASV80_ANPR	ASV81_Mesorhizobium	ASV82_ANPR	ASV832_unknown	ASV836_Rhizobacter	ASV84_Mesorhizobium	ASV85_Mesorhizobium	ASV852_Mesorhizobium	ASV853_Caulobacter	ASV869_ANPR	ASV87_Mesorhizobium	ASV879_Mesorhizobium	ASV89_ANPR	ASV896_unknown	ASV9_ANPR	ASV91_Mesorhizobium	ASV920_ANPR	ASV93_ANPR	ASV95_ANPR	ASV954_unknown	ASV97_ANPR	ASV974_Mesorhizobium	ASV98_unknown	ASV984_Aminobacter	target
Lb_1_Healthy_A	0.889959205342424	0	0	0	0	0	0	0	0	0	0	0.000628684791416357	0.000649640951130236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001955908239962	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00333901478107798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00201179133253234	0	0.0300092207102741	0	0	0	0	0	0	0	0	0.000349269328564643	0	0	0.00312246779736791	0	0	0	0.00186509821453519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00159266813825477	1.39707731425857e-05	0	0	0	0	0.000970968733409707	0	0	0	0	0	0	0	0.0240786275112465	0	0	0	0	0	0	0	0	0.00124339880969013	0	0	0	0.00128531112911789	0	0	0	0	0.0169186062756713	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0126016373746123	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00611919863645254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00128531112911789	0	0	0	0	0	0	0	0	0	0	0	0	0	H1
Lb_1_Healthy_B	0.36767675615238	0	0	0	0	0	0	0	0	0	0	0	0.000319456012048055	0.000553343449440381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0222364202672021	0	0.000336569726979201	0	0	0	0	0	0.00831156088489315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0132688336432817	0	0.000290933153829479	0	0	0	0	0	0	0	0	0	0	0.000330865155335486	0	0.0096749535077411	0	0.29687731748223	0	0	0	0	0	0	0	0	0.00938972492555534	0	0	0.00817465116544399	0	0	0	0.00794646829969538	0	0	0	0	0	0	0	0	0.00618375566178736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000684548597245833	0.000154023434380312	0	5.70457164371527e-06	0	0	0.00196237264543805	0	0	0	0	0	0	0	0.0800864813061187	0	0	0	0	0	0	0	5.70457164371527e-05	0.00274389896062705	0.00274960353227076	0	0	0	7.98640030120138e-05	0	0	0	0.073349382194891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0497039327316912	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0356706864881516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00106105032573104	0	0	0	0	0	0	0	0	0	0	1.14091432874305e-05	0	0	0	0	0	0	0	0	0	0	0	0.00010838686123059	0	0	H1
Lb_1_Healthy_C	0.444385863008802	0	0	0	0	0	0	0	0	0	0	0	0	0.00047361601358295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00698807023814843	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0104821053572226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0031276529198874	0	0.332326526964836	0	0	0	0	0	0	0	0	0.00289531298869577	0	0	0.00226084625351861	0	0	0	0.00616594432777803	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000697019793574907	0.00010723381439614	0	0	0	0	0.0009472320271659	0	0	0	0	0	0	0	0.0753406907644877	0	0	0	0	0	0	0	0.000125106116795496	0.001277869621554	0	0	0	0	0	0	0	0	0.0693355971583039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0283454716053796	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0147178410258702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	H1
Lb_1_Healthy_D	0.961423946349078	0	0	0	0	0	0	0	0.0012357634271839	1.44533734173556e-05	0	0	0.000859975718332659	0	0	0.00036133433543389	0	0	0	0	3.6133433543389e-05	0.000325200901890501	0.000794935537954559	7.22668670867781e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000621495056946291	0	0	0	0	0	0	0	0	0.00187893854425623	0	0	0	0	0.000729895357576458	0	0	0	0	0	0	0.00160432444932647	0.000650401803781002	0	0	0	0	0.000260160721512401	0	0	0	0	0	0	0	0	0	0	0	0.00652569809793606	0	0	0	0	0	0	0.000375787708851246	0	0	0	0.000122853674047523	0	0	7.22668670867781e-06	0	0	0.000281840781638434	0	0	0	0	0	0	0	0	0	0	0.00333872925940915	0	0	0	0	0	0	0.000325200901890501	0.00143811065502688	0	0	0.00459617274671908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00116349656009713	0	0	0	0	0	0.00135139041452275	0	0	0.00174163149679135	0	0	0.0011707232468058	0	0.000925015898710759	0	0	0	0	0	0	0.00164045788286986	0	0	0	0	0	0	0	0	0	0	0.00190784529109094	0	0	7.22668670867781e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000224027287969012	0	0	0	0	0	0.000744348730993814	0	0	0	0.000115626987338845	0	0	0	0	0	0	6.50401803781002e-05	0	0	0	0.00112736312655374	0	0	0	H1
Lb_1_Healthy_E	0.596170452844527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.15139722052711e-05	0	0	0	0	0	0	0	0	0	0.0767521387203371	0	0	0	0	0	0	0	0.00328148207850226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00599877951894624	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0105237705956178	0.00052964272144247	0.0726416506430553	0	0	0	0	0	0	0	0	0.00278638127367561	0	0	0.0101898654016649	0	0	0	0.00512371763134564	0	0	0	0	0	0	0	0	0.0364762639462988	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00115139722052711	8.05978054368977e-05	0	0	0	0	0.0020725149969488	0	0	0	0	0	0	0	0.0363380962798356	0	0	0	0	0	0	0	0	0.00382263877215	0.0173170141967277	0	0	0.000644782443495181	0	0	0	0	0.0467121852367848	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0481053758736226	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0163037846426639	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00696595318418901	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	H1
Lb_1_Healthy_F	0.458091069006727	0	0	0	0	0	0	0	0	0	0	0	0	0.000161136549797908	0	0	0	0	0	0	0	0	0	0	0	6.71402290824616e-06	0	0	0	0	0.10986827087054	0	0.000154422526889662	0	0	0	0	0	0.00474681419613004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00721086060345638	0	0	0	0	0	0	0	0	0	0	0	0	0.000161136549797908	0	0.0103463093016073	0	0.112426313598582	0	0	0	0	0	0	0	0	0.00465953189832284	0	0	0.0117159699748896	0	0	0	0.00794940312336346	0	0	0	0	0	0	0	0	0.0444401176296813	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000825824817714278	8.72822978072001e-05	0	0	0	0	0.0027057512320232	0	0	0	0	0	0	0	0.0425199070779229	0	0	0	0	0	0	0	0.000107424366531939	0.00457896362342388	0.0182151441500718	0	0	0.000516979763934955	6.04262061742155e-05	0	0	0	0.0740959568154047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0578480213774489	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0189536866699789	0	0	0	0	9.39963207154463e-05	0	0	0	0	0	0	0	0	0	0	0.00739885324488727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.37121832659693e-05	0	0	H1
Lb_1_Healthy_G	0.4776412982067	0.00700998137646739	0	0	0	0	0	0	0	0	0	0	0	0.000390605927444949	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000195302963722474	0	0	0	0	0	0.0131410994161836	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0129388213466139	0	0	0	0	0	0	0	0	0	0	0	0	0.000279004233889249	0	0.00908158781309506	0	0.198225533072464	0	0	0	0	0	0	0	0	0.00891418527276151	0	0	0.0112787461549729	0	0	0	0.00673795224842537	0	0	0.00441524200129737	0	0	0	0	0	0	0	0	0	0.00219715834187784	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000920713971834523	0.0001116016935557	0	0	0	0	0.0038851339569078	0	0	0	0	0	0	0	0.0846777849853872	0	0	0	0	0	0	0	0.000104626587708468	0.00408043692063027	0	0	0	0.000585908891167423	6.27759526250811e-05	0	0	0	0.0601812132499111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0511833267069828	0	0	0	0	0	0	0	0	0	0	0	0	0.000195302963722474	0.0396744020590512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000843987807514979	0	0	0	0	0	0	0	0	0.000948614395223447	0	0	0	0	0	9.76514818612372e-05	0	0	H1
Lb_1_Healthy_H	0.821090523284453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000386495396157781	0	0	0	0	0	0.00246296085786821	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00308438482816112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0020234170740025	0	0.0543821757417301	0.0454094198779887	0	0	0	0	0	0	0	0.000250085256337388	0	0	0.00206130877950817	0	0	0	0.0020916221439127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00103823273085522	1.51566822022659e-05	0	0	0	0	0.00103823273085522	0	0	0	0	0	0	0	0.0240006062672881	0	0	0	0	0	0	0	0	0.000644158993596302	0	0	0	0	0.000113675116516994	0	0	0	0.0203933159031488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.012822553143117	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00669167519230041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	H1
Lb_1_Healthy_I	0.545929227690348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000118257072682616	0	0	0	0	0	0	0	0	0	0	0	0.000372964613845174	0	0	0.000172837260074593	0	0	0.0024197216410443	0.0003911580096425	0	0	0	0	0	0.000118257072682616	0.000109160374783953	0	0	0	0	0	0	0	0	0.00307468388974802	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00326571454561994	0	0.352642590739562	0	0	0	0	0	0	0	0	0.000673155644501046	0	0	0.00100973346675157	0	0	0	0.00290184662967343	0	0	0	0	0	0	0.0021013372145911	0	0	0	0	0	0	0	0	0.000272900936959884	0	0	0	0	0	0	0	0	1.81933957973256e-05	0	0.000809606112980988	2.72900936959884e-05	0	0	0	0	0.000318384426453197	0	0	0	0	0	0	1.81933957973256e-05	0.0258801055216956	0	0	0	5.45801873919767e-05	0	0	0	0	0	0	0	0	0.000573091967615755	3.63867915946511e-05	0	0	0	0.028217956881652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0128445374329119	0.00126444100791413	0	0	0	0	0	0	0	0	0	0	0	0.000272900936959884	0.0140089147639407	0	0	2.72900936959884e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.45801873919767e-05	0	0	0	0	0	H1
Lb_1_Healthy_J	0.624543715335139	0.0110870786995248	0	0	0	0	0	0	0	0.000107862004757282	0	0.000403063280935107	0	0.000334939909509455	0	0	0	0	0	0	0.000147600638088912	0	0	0	0	0	0	0	0	0	0	0	0.00028952432855902	0	0	0	0	0	0.00464942009980074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00241837968561064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00267384232845684	0	0.267628341593292	0	0	0	0	0	0	0	0	0.000448478861885541	0	0	0.000993465833290756	0	0	0	0.00260004200941238	0	0	0.00152142196183956	0	0	0	0	0	0	0	0	0.000425771071410324	0.00116945120947369	0.00038035549045989	0	0	0	0	0	0	0	0	0	0	0	0	0.000942373304721517	3.97386333316302e-05	0	0	0	0	0.000539310023786411	0	0	0	0	0	0	0	0.0246549835084672	0	2.27077904752173e-05	2.83847380940216e-05	0	0	0	0	3.40616857128259e-05	0	0	0	0	0.000596079499974454	3.40616857128259e-05	0	0	0	0.0282711991416455	0	0	0.000193016219039347	0	0	0	0	5.67694761880432e-06	0	0	0	0	0	0	0	0	0	0.0115866500899796	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0106158920471641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.13538952376086e-05	0	0	0.000266816538083803	0	0	0	0	0	0	0	3.97386333316302e-05	0.00028952432855902	0	0	0	5.67694761880432e-06	0	0	0	0	H1
