ASV,H2S2
ASV1_Mesorhizobium,-1.7786741925513483
ASV28_Pseudomonas,-0.01809645391194937
ASV57_Pseudomonas,-0.008530454639323493
ASV119_Rhizobacter,-0.005823872653046342
ASV156_Duganella,-0.0032522400017669013
ASV165_Herbaspirillum,-0.0032425688948484847
ASV43_unknown,-0.00306948723528536
ASV234_Achromobacter,-0.0029015374047132
ASV229_Achromobacter,-0.00273749288713225
ASV35_Mesorhizobium,-0.0023211756972676863
ASV141_Pseudomonas,-0.0021762871541163966
ASV56_ANPR,-0.0021440597404679797
ASV249_Duganella,-0.002053656921919935
ASV48_Pseudomonas,-0.00185310293781182
ASV64_Mesorhizobium,-0.001647683387865089
ASV112_Mesorhizobium,-0.0013972269270879493
ASV98_unknown,-0.0012484108531571059
ASV315_Duganella,-0.0012185719025182555
ASV391_Duganella,-0.00118419636128754
ASV67_Mesorhizobium,-0.001096689630790172
ASV81_Mesorhizobium,-0.0010716581548767118
ASV519_Methylovorus,-0.0010138700894651632
ASV4_Mesorhizobium,-0.0009890051016517402
ASV47_Mesorhizobium,-0.0009384330803202965
ASV145_unknown,-0.0009070307502034907
ASV111_Mesorhizobium,-0.0009052539316636076
ASV41_unknown,-0.0009038460150204784
ASV104_Mesorhizobium,-0.0008819049146155699
ASV58_ANPR,-0.00082234769960257
ASV108_Mesorhizobium,-0.000794859754211954
ASV382_Mesorhizobium,-0.000736173008572853
ASV581_unknown,-0.00069659381456356
ASV146_unknown,-0.0006561887622812993
ASV836_Rhizobacter,-0.000604914158579785
ASV667_unknown,-0.000601603748941257
ASV110_ANPR,-0.000590990825898226
ASV93_ANPR,-0.00056808420473938
ASV125_unknown,-0.000517689638189918
ASV166_Mesorhizobium,-0.000499364341262842
ASV135_unknown,-0.000485620368567534
ASV747_unknown,-0.00048286616691337687
ASV188_Mesorhizobium,-0.000481039044335766
ASV144_ANPR,-0.00043751646413395793
ASV274_Mesorhizobium,-0.00040034117459700045
ASV1224_Duganella,-0.000353720991033942
ASV498_unknown,-0.0003354968868668088
ASV250_Mesorhizobium,-0.000327564682571498
ASV231_Mesorhizobium,-0.000297786075064998
ASV70_Caulobacter,-0.000292204296941082
ASV1447_Rugamonas,-0.000281951514592272
ASV161_Mesorhizobium,-0.0002802891680586254
ASV717_Pseudomonas,-0.00027801831409030275
ASV124_Mesorhizobium,-0.000270906595999264
ASV87_Mesorhizobium,-0.00026923037041727115
ASV375_unknown,-0.0002683374141557556
ASV217_Mesorhizobium,-0.000268007467558498
ASV202_unknown,-0.000266327301591645
ASV392_unknown,-0.0002600001158475184
ASV307_unknown,-0.0002457479547491402
ASV343_Mesorhizobium,-0.000242025479233426
ASV244_ANPR,-0.00023822886005199799
ASV396_unknown,-0.00021494695727263422
ASV386_unknown,-0.00017808413093113818
ASV421_unknown,-0.0001596633206786414
ASV76_Mesorhizobium,-0.0001583110198839917
ASV591_unknown,-0.00015293210892494105
ASV626_Azorhizophilus,-0.0001470528188144414
ASV336_Mesorhizobium,-5.0521812669223426e-05
ASV426_unknown,-4.7158688988446e-05
ASV458_unknown,-3.772695119075688e-05
ASV197_Mesorhizobium,-2.079099697032084e-05
ASV879_Mesorhizobium,-1.3157721608926197e-05
ASV23_Mesorhizobium,-2.357934449422308e-06
ASV38_Mesorhizobium,0.0
ASV295_Mesorhizobium,0.0
ASV29_Mesorhizobium,0.0
ASV832_unknown,0.0
ASV30_Mesorhizobium,0.0
ASV474_Mesorhizobium,0.0
ASV79_Mesorhizobium,0.0
ASV727_Mesorhizobium,0.0
ASV358_Mesorhizobium,0.0
ASV504_Mesorhizobium,0.0
ASV328_unknown,0.0
ASV403_ANPR,0.0
ASV91_Mesorhizobium,0.0
ASV896_unknown,0.0
ASV697_Mesorhizobium,0.0
ASV85_Mesorhizobium,0.0
ASV435_Mesorhizobium,0.0
ASV44_Mesorhizobium,0.0
ASV1018_Mesorhizobium,0.0
ASV186_Mesorhizobium,0.0
ASV974_Mesorhizobium,0.0
ASV1186_Mesorhizobium,0.0
ASV984_Aminobacter,0.0
ASV115_Mesorhizobium,0.0
ASV1258_ANPR,0.0
ASV16_Mesorhizobium,0.0
ASV20_Mesorhizobium,0.0
ASV19_Mesorhizobium,0.0
ASV1481_unknown,0.0
ASV45_Mesorhizobium,2.0952281179613397e-06
ASV134_Mesorhizobium,2.9335313812331456e-06
ASV10_Mesorhizobium,3.802715138608968e-06
ASV25_Mesorhizobium,4.1904562359226795e-06
ASV338_Aminobacter,4.609649148079215e-06
ASV13_Mesorhizobium,6.2856843538840204e-06
ASV534_Cutibacterium,8.111138585074491e-06
ASV728_unknown,9.2192982961584e-06
ASV503_unknown,1.0327134989966016e-05
ASV24_Mesorhizobium,1.1075212895900041e-05
ASV7_Mesorhizobium,2.1579571689946764e-05
ASV5_Mesorhizobium,2.183386962786134e-05
ASV157_unknown,2.446899625081914e-05
ASV954_unknown,2.753902663990939e-05
ASV14_Mesorhizobium,4.7989799675666266e-05
ASV2_Mesorhizobium,4.954071848605676e-05
ASV6_Mesorhizobium,6.176783980894795e-05
ASV1032_unknown,6.540518826978492e-05
ASV359_Mesorhizobium,6.81446236713487e-05
ASV1464_unknown,7.405737486126758e-05
ASV1223_Mesorhizobium,0.00011458907136933854
ASV292_Mesorhizobium,0.00012107916297781027
ASV1191_unknown,0.00014879125682302395
ASV427_ANPR,0.00016275543032390183
ASV306_Mesorhizobium,0.0001685935179964743
ASV1431_unknown,0.00021295204776210235
ASV1430_unknown,0.00021295204776210235
ASV1395_unknown,0.00022055747803931998
ASV1257_unknown,0.0002547819142868008
ASV1168_ANPR,0.0002614936148231247
ASV1396_unknown,0.0002673596505885944
ASV852_Mesorhizobium,0.0002995244135749855
ASV1049_unknown,0.0003130516319525507
ASV311_ANPR,0.00032218247389143083
ASV869_ANPR,0.00033463893219758876
ASV920_ANPR,0.0003422443624748072
ASV756_Mesorhizobium,0.00034410981808700113
ASV451_ANPR,0.00036457226500114306
ASV74_ANPR,0.0003735414845734908
ASV569_unknown,0.00037694435832662015
ASV637_ANPR,0.00037740389640324965
ASV646_ANPR,0.0003976837229172082
ASV733_unknown,0.00041399101120204016
ASV853_Caulobacter,0.0004363664429885483
ASV748_Mesorhizobium,0.0005057611134349928
ASV80_ANPR,0.0005212028855857378
ASV523_unknown,0.0005731056913519479
ASV560_unknown,0.0006970494763237603
ASV632_unknown,0.0007467631619888328
ASV215_Mesorhizobium,0.0008592686778972847
ASV380_ANPR,0.0009582614878978045
ASV348_unknown,0.001091379244780776
ASV261_ANPR,0.0011364723538705682
ASV401_Caulobacter,0.001267653515721784
ASV153_ANPR,0.0013088317630136044
ASV218_Variovorax,0.0014079327369653665
ASV281_Mesorhizobium,0.001513480625166368
ASV118_Mesorhizobium,0.001536040588195041
ASV247_Mesorhizobium,0.0018138951211164802
ASV178_unknown,0.001840538734083247
ASV137_ANPR,0.0018870605063943742
ASV139_ANPR,0.0018984884059834613
ASV254_ANPR,0.001908962999581704
ASV133_ANPR,0.0019613205990887846
ASV60_Mesorhizobium,0.0020752307565629698
ASV162_ANPR,0.0021143326043363184
ASV176_unknown,0.0022123641739509774
ASV171_Pseudomonas,0.002392407907853112
ASV154_ANPR,0.002675455631960668
ASV185_unknown,0.00278358748146176
ASV170_Mesorhizobium,0.002829220063125072
ASV126_unknown,0.003025657039205581
ASV160_Mesorhizobium,0.003064988401718824
ASV158_Mesorhizobium,0.0030763965471346565
ASV142_unknown,0.0038331368597178403
ASV71_unknown,0.0041357506641053554
ASV106_Mesorhizobium,0.004431287169258663
ASV95_ANPR,0.004694274413676116
ASV121_Mesorhizobium,0.004760999353538424
ASV26_Mesorhizobium,0.005164087158230976
ASV82_ANPR,0.005188601953529415
ASV120_ANPR,0.005224930600448719
ASV117_ANPR,0.005692664562497623
ASV109_Mesorhizobium,0.00588660303456668
