"Cor","CorRange","CorrB","CorrStrong","interaction","n1","n2","name","name2","Pvalue","selected","shared interaction","shared name","v1","v2"
"-0.4001","Strong","Negative","Negative_Strong","interacts with","ANPR","Pseudomonas","ASV80_ANPR (interacts with) ASV48_Pseudomonas","ANPR_Pseudomonas","0.005","false","interacts with","ASV80_ANPR (interacts with) ASV48_Pseudomonas","ASV80","ASV48"
"-0.3967","Weak","Negative","Negative_Weak","interacts with","ANPR","Pseudomonas","ASV80_ANPR (interacts with) ASV57_Pseudomonas","ANPR_Pseudomonas","0.004","false","interacts with","ASV80_ANPR (interacts with) ASV57_Pseudomonas","ASV80","ASV57"
"-0.3498","Weak","Negative","Negative_Weak","interacts with","Mesorhizobium","Pseudomonas","ASV76_Mesorhizobium (interacts with) ASV48_Pseudomonas","Mesorhizobium_Pseudomonas","0.009","false","interacts with","ASV76_Mesorhizobium (interacts with) ASV48_Pseudomonas","ASV76","ASV48"
"0.5293","Strong","Positive","Positive_Strong","interacts with","Mesorhizobium","Pseudomonas","ASV4_Mesorhizobium (interacts with) ASV28_Pseudomonas","Mesorhizobium_Pseudomonas","0.001","false","interacts with","ASV4_Mesorhizobium (interacts with) ASV28_Pseudomonas","ASV4","ASV28"
"-0.3966","Weak","Negative","Negative_Weak","interacts with","ANPR","Pseudomonas","ASV74_ANPR (interacts with) ASV48_Pseudomonas","ANPR_Pseudomonas","0.004","false","interacts with","ASV74_ANPR (interacts with) ASV48_Pseudomonas","ASV74","ASV48"
"0.3936","Weak","Positive","Positive_Weak","interacts with","Pseudomonas","Pseudomonas","ASV28_Pseudomonas (interacts with) ASV141_Pseudomonas","Pseudomonas_Pseudomonas","0.009","false","interacts with","ASV28_Pseudomonas (interacts with) ASV141_Pseudomonas","ASV28","ASV141"
"0.6706","Strong","Positive","Positive_Strong","interacts with","Pseudomonas","Mesorhizobium","ASV28_Pseudomonas (interacts with) ASV274_Mesorhizobium","Pseudomonas_Mesorhizobium","0.001","false","interacts with","ASV28_Pseudomonas (interacts with) ASV274_Mesorhizobium","ASV28","ASV274"
"0.3388","Weak","Positive","Positive_Weak","interacts with","Mesorhizobium","Pseudomonas","ASV359_Mesorhizobium (interacts with) ASV171_Pseudomonas","Mesorhizobium_Pseudomonas","0.009","false","interacts with","ASV359_Mesorhizobium (interacts with) ASV171_Pseudomonas","ASV359","ASV171"
"0.6447","Strong","Positive","Positive_Strong","interacts with","Mesorhizobium","Pseudomonas","ASV343_Mesorhizobium (interacts with) ASV28_Pseudomonas","Mesorhizobium_Pseudomonas","0.001","false","interacts with","ASV343_Mesorhizobium (interacts with) ASV28_Pseudomonas","ASV343","ASV28"
"-0.3633","Weak","Negative","Negative_Weak","interacts with","ANPR","Pseudomonas","ASV95_ANPR (interacts with) ASV717_Pseudomonas","ANPR_Pseudomonas","0.005","false","interacts with","ASV95_ANPR (interacts with) ASV717_Pseudomonas","ASV95","ASV717"
"-0.3812","Weak","Negative","Negative_Weak","interacts with","ANPR","Pseudomonas","ASV95_ANPR (interacts with) ASV48_Pseudomonas","ANPR_Pseudomonas","0.005","false","interacts with","ASV95_ANPR (interacts with) ASV48_Pseudomonas","ASV95","ASV48"
"0.4732","Strong","Positive","Positive_Strong","interacts with","Mesorhizobium","Pseudomonas","ASV879_Mesorhizobium (interacts with) ASV717_Pseudomonas","Mesorhizobium_Pseudomonas","0.001","false","interacts with","ASV879_Mesorhizobium (interacts with) ASV717_Pseudomonas","ASV879","ASV717"
"0.3427","Weak","Positive","Positive_Weak","interacts with","Mesorhizobium","Pseudomonas","ASV879_Mesorhizobium (interacts with) ASV28_Pseudomonas","Mesorhizobium_Pseudomonas","0.006","false","interacts with","ASV879_Mesorhizobium (interacts with) ASV28_Pseudomonas","ASV879","ASV28"
