Node1	Node2	Pvalue	Cor	CorrB	CorRange	CorrStrong	name	v1	n1	v2	n2	name2
ASV48_Pseudomonas	ASV106_Mesorhizobium	0.004	-0.3872	Negative	Weak	Negative_Weak	ASV48_Pseudomonas_ASV106_Mesorhizobium	ASV48	Pseudomonas	ASV106	Mesorhizobium	Pseudomonas_Mesorhizobium
ASV57_Pseudomonas	ASV106_Mesorhizobium	0.004	-0.4016	Negative	Strong	Negative_Strong	ASV57_Pseudomonas_ASV106_Mesorhizobium	ASV57	Pseudomonas	ASV106	Mesorhizobium	Pseudomonas_Mesorhizobium
ASV717_Pseudomonas	ASV106_Mesorhizobium	0.001	-0.3831	Negative	Weak	Negative_Weak	ASV717_Pseudomonas_ASV106_Mesorhizobium	ASV717	Pseudomonas	ASV106	Mesorhizobium	Pseudomonas_Mesorhizobium
ASV717_Pseudomonas	ASV112_Mesorhizobium	0.005	0.3815	Positive	Weak	Positive_Weak	ASV717_Pseudomonas_ASV112_Mesorhizobium	ASV717	Pseudomonas	ASV112	Mesorhizobium	Pseudomonas_Mesorhizobium
ASV48_Pseudomonas	ASV139_ANPR	0.007	-0.3291	Negative	Weak	Negative_Weak	ASV48_Pseudomonas_ASV139_ANPR	ASV48	Pseudomonas	ASV139	ANPR	Pseudomonas_ANPR
ASV57_Pseudomonas	ASV139_ANPR	0.006	-0.3241	Negative	Weak	Negative_Weak	ASV57_Pseudomonas_ASV139_ANPR	ASV57	Pseudomonas	ASV139	ANPR	Pseudomonas_ANPR
ASV717_Pseudomonas	ASV139_ANPR	0.006	-0.3211	Negative	Weak	Negative_Weak	ASV717_Pseudomonas_ASV139_ANPR	ASV717	Pseudomonas	ASV139	ANPR	Pseudomonas_ANPR
ASV162_ANPR	ASV141_Pseudomonas	0.005	-0.3235	Negative	Weak	Negative_Weak	ASV162_ANPR_ASV141_Pseudomonas	ASV162	ANPR	ASV141	Pseudomonas	ANPR_Pseudomonas
ASV261_ANPR	ASV141_Pseudomonas	0.001	-0.3658	Negative	Weak	Negative_Weak	ASV261_ANPR_ASV141_Pseudomonas	ASV261	ANPR	ASV141	Pseudomonas	ANPR_Pseudomonas
ASV28_Pseudomonas	ASV141_Pseudomonas	0.009	0.3936	Positive	Weak	Positive_Weak	ASV28_Pseudomonas_ASV141_Pseudomonas	ASV28	Pseudomonas	ASV141	Pseudomonas	Pseudomonas_Pseudomonas
