"Class","degree.layout","Family","Genus","Kingdom","name","Order","Phylum","RAmean","RARange","RAsum","selected","shared name","X"
"Alphaproteobacteria","2","Rhizobiaceae","ANPR","Bacteria","ASV80_ANPR","Rhizobiales","Proteobacteria","1.90546138865201E-4","Q3","0.0190546138865201","false","ASV80_ANPR","ASV80"
"Gammaproteobacteria",,"Pseudomonadaceae","Pseudomonas","Bacteria","ASV171_Pseudomonas","Pseudomonadales","Proteobacteria","1.42582232876042E-4","Q3","0.0142582232876042","false","ASV171_Pseudomonas","ASV171"
"Alphaproteobacteria",,"Rhizobiaceae","Mesorhizobium","Bacteria","ASV76_Mesorhizobium","Rhizobiales","Proteobacteria","1.94929360516224E-4","Q3","0.0194929360516224","false","ASV76_Mesorhizobium","ASV76"
"Alphaproteobacteria",,"Rhizobiaceae","Mesorhizobium","Bacteria","ASV4_Mesorhizobium","Rhizobiales","Proteobacteria","0.0162390598506608","Q4","1.62390598506608","false","ASV4_Mesorhizobium","ASV4"
"Alphaproteobacteria",,"Rhizobiaceae","Mesorhizobium","Bacteria","ASV2_Mesorhizobium","Rhizobiales","Proteobacteria","0.0911486820199245","Q4","9.11486820199245","false","ASV2_Mesorhizobium","ASV2"
"Alphaproteobacteria","1","Rhizobiaceae","ANPR","Bacteria","ASV74_ANPR","Rhizobiales","Proteobacteria","2.17032200264898E-4","Q3","0.0217032200264898","false","ASV74_ANPR","ASV74"
"Gammaproteobacteria",,"Pseudomonadaceae","Pseudomonas","Bacteria","ASV28_Pseudomonas","Pseudomonadales","Proteobacteria","0.00308177461463861","Q4","0.308177461463861","false","ASV28_Pseudomonas","ASV28"
"Gammaproteobacteria",,"Pseudomonadaceae","Pseudomonas","Bacteria","ASV141_Pseudomonas","Pseudomonadales","Proteobacteria","1.23324289290446E-4","Q3","0.0123324289290446","false","ASV141_Pseudomonas","ASV141"
"Alphaproteobacteria",,"Rhizobiaceae","Mesorhizobium","Bacteria","ASV359_Mesorhizobium","Rhizobiales","Proteobacteria","1.80631461037121E-5","Q1","0.00180631461037121","false","ASV359_Mesorhizobium","ASV359"
"Alphaproteobacteria",,"Rhizobiaceae","Mesorhizobium","Bacteria","ASV343_Mesorhizobium","Rhizobiales","Proteobacteria","2.70352430135492E-5","Q2","0.00270352430135492","false","ASV343_Mesorhizobium","ASV343"
"Alphaproteobacteria",,"Rhizobiaceae","Mesorhizobium","Bacteria","ASV112_Mesorhizobium","Rhizobiales","Proteobacteria","1.13920660337101E-4","Q3","0.0113920660337101","false","ASV112_Mesorhizobium","ASV112"
"Alphaproteobacteria","2","Rhizobiaceae","ANPR","Bacteria","ASV95_ANPR","Rhizobiales","Proteobacteria","1.99505713537107E-4","Q3","0.0199505713537107","false","ASV95_ANPR","ASV95"
"Alphaproteobacteria",,"Rhizobiaceae","Mesorhizobium","Bacteria","ASV879_Mesorhizobium","Rhizobiales","Proteobacteria","8.58186835790173E-6","Q1","8.58186835790173E-4","false","ASV879_Mesorhizobium","ASV879"
"Alphaproteobacteria",,"Rhizobiaceae","Mesorhizobium","Bacteria","ASV87_Mesorhizobium","Rhizobiales","Proteobacteria","1.56357316974988E-4","Q3","0.0156357316974988","false","ASV87_Mesorhizobium","ASV87"
