"Cor","CorRange","CorrB","CorrStrong","interaction","n1","n2","name","name2","Pvalue","selected","shared interaction","shared name","v1","v2"
"0.3835","Weak","Positive","Positive_Weak","interacts with","","","ASV451_ANPR (interacts with) ASV311_ANPR","","0.004","false","interacts with","ASV451_ANPR (interacts with) ASV311_ANPR","",""
"0.342","Weak","Positive","Positive_Weak","interacts with","","","ASV451_ANPR (interacts with) ASV218_Variovorax","","0.009","false","interacts with","ASV451_ANPR (interacts with) ASV218_Variovorax","",""
"0.3327","Weak","Positive","Positive_Weak","interacts with","","","ASV451_ANPR (interacts with) ASV2_Mesorhizobium","","0.005","false","interacts with","ASV451_ANPR (interacts with) ASV2_Mesorhizobium","",""
"0.3787","Weak","Positive","Positive_Weak","interacts with","","","ASV451_ANPR (interacts with) ASV153_ANPR","","0.004","false","interacts with","ASV451_ANPR (interacts with) ASV153_ANPR","",""
"0.4276","Strong","Positive","Positive_Strong","interacts with","","","ASV667_unknown (interacts with) ASV581_unknown","","5.0E-4","false","interacts with","ASV667_unknown (interacts with) ASV581_unknown","",""
"0.4486","Strong","Positive","Positive_Strong","interacts with","","","ASV667_unknown (interacts with) ASV382_Mesorhizobium","","0.001","false","interacts with","ASV667_unknown (interacts with) ASV382_Mesorhizobium","",""
"0.3068","Weak","Positive","Positive_Weak","interacts with","","","ASV667_unknown (interacts with) ASV35_Mesorhizobium","","0.003","false","interacts with","ASV667_unknown (interacts with) ASV35_Mesorhizobium","",""
"-0.2524","Weak","Negative","Negative_Weak","interacts with","","","ASV667_unknown (interacts with) ASV3_ANPR","","0.007","false","interacts with","ASV667_unknown (interacts with) ASV3_ANPR","",""
"0.4203","Strong","Positive","Positive_Strong","interacts with","","","ASV667_unknown (interacts with) ASV165_Herbaspirillum","","0.003","false","interacts with","ASV667_unknown (interacts with) ASV165_Herbaspirillum","",""
"-0.3139","Weak","Negative","Negative_Weak","interacts with","","","ASV667_unknown (interacts with) ASV15_Mesorhizobium","","0.004","false","interacts with","ASV667_unknown (interacts with) ASV15_Mesorhizobium","",""
"0.6706","Strong","Positive","Positive_Strong","interacts with","","","ASV28_Pseudomonas (interacts with) ASV274_Mesorhizobium","","0.001","false","interacts with","ASV28_Pseudomonas (interacts with) ASV274_Mesorhizobium","",""
"-0.3994","Weak","Negative","Negative_Weak","interacts with","","","ASV28_Pseudomonas (interacts with) ASV176_unknown","","0.005","false","interacts with","ASV28_Pseudomonas (interacts with) ASV176_unknown","",""
"0.6566","Strong","Positive","Positive_Strong","interacts with","","","ASV28_Pseudomonas (interacts with) ASV146_unknown","","0.001","false","interacts with","ASV28_Pseudomonas (interacts with) ASV146_unknown","",""
"0.6836","Strong","Positive","Positive_Strong","interacts with","","","ASV28_Pseudomonas (interacts with) ASV145_unknown","","0.001","false","interacts with","ASV28_Pseudomonas (interacts with) ASV145_unknown","",""
"0.3936","Weak","Positive","Positive_Weak","interacts with","","","ASV28_Pseudomonas (interacts with) ASV141_Pseudomonas","","0.009","false","interacts with","ASV28_Pseudomonas (interacts with) ASV141_Pseudomonas","",""
"0.3923","Weak","Positive","Positive_Weak","interacts with","","","ASV77_Caulobacter (interacts with) ASV756_Mesorhizobium","","0.007","false","interacts with","ASV77_Caulobacter (interacts with) ASV756_Mesorhizobium","",""
"0.4427","Strong","Positive","Positive_Strong","interacts with","","","ASV77_Caulobacter (interacts with) ASV632_unknown","","0.007","false","interacts with","ASV77_Caulobacter (interacts with) ASV632_unknown","",""
