Node1	Node2	Pvalue	Cor	CorrB	CorRange	CorrStrong
ASV106_Mesorhizobium	ASV1_Mesorhizobium	0.001	-0.5492	Negative	Strong	Negative_Strong
ASV11_unknown	ASV1_Mesorhizobium	0.001	-0.4867	Negative	Strong	Negative_Strong
ASV111_Mesorhizobium	ASV1_Mesorhizobium	0.01	0.4515	Positive	Strong	Positive_Strong
ASV12_Mesorhizobium	ASV1_Mesorhizobium	0.01	-0.4497	Negative	Strong	Negative_Strong
ASV126_unknown	ASV1_Mesorhizobium	0.001	-0.558	Negative	Strong	Negative_Strong
ASV133_ANPR	ASV1_Mesorhizobium	0.005	-0.4886	Negative	Strong	Negative_Strong
ASV137_ANPR	ASV1_Mesorhizobium	0.003	-0.5301	Negative	Strong	Negative_Strong
ASV139_ANPR	ASV1_Mesorhizobium	0.001	-0.6158	Negative	Strong	Negative_Strong
ASV15_Mesorhizobium	ASV1_Mesorhizobium	0.002	-0.5098	Negative	Strong	Negative_Strong
ASV153_ANPR	ASV1_Mesorhizobium	0.001	-0.6225	Negative	Strong	Negative_Strong
ASV154_ANPR	ASV1_Mesorhizobium	0.01	-0.4493	Negative	Strong	Negative_Strong
ASV162_ANPR	ASV1_Mesorhizobium	0.002	-0.5334	Negative	Strong	Negative_Strong
ASV176_unknown	ASV1_Mesorhizobium	0.002	-0.547	Negative	Strong	Negative_Strong
ASV178_unknown	ASV1_Mesorhizobium	0.001	-0.5477	Negative	Strong	Negative_Strong
ASV18_ANPR	ASV1_Mesorhizobium	0.001	-0.5243	Negative	Strong	Negative_Strong
ASV21_ANPR	ASV1_Mesorhizobium	0.002	-0.5144	Negative	Strong	Negative_Strong
ASV261_ANPR	ASV1_Mesorhizobium	0.001	-0.5521	Negative	Strong	Negative_Strong
ASV3_ANPR	ASV1_Mesorhizobium	0.001	-0.7257	Negative	Strong	Negative_Strong
ASV31_Mesorhizobium	ASV1_Mesorhizobium	0.008	-0.4434	Negative	Strong	Negative_Strong
ASV33_ANPR	ASV1_Mesorhizobium	0.004	-0.4985	Negative	Strong	Negative_Strong
ASV34_ANPR	ASV1_Mesorhizobium	0.002	-0.4896	Negative	Strong	Negative_Strong
ASV35_Mesorhizobium	ASV1_Mesorhizobium	0.001	0.8664	Positive	Strong	Positive_Strong
ASV37_unknown	ASV1_Mesorhizobium	0.007	-0.4596	Negative	Strong	Negative_Strong
ASV39_unknown	ASV1_Mesorhizobium	0.001	-0.6117	Negative	Strong	Negative_Strong
ASV47_Mesorhizobium	ASV1_Mesorhizobium	0.001	0.6264	Positive	Strong	Positive_Strong
ASV49_ANPR	ASV1_Mesorhizobium	0.001	-0.7251	Negative	Strong	Negative_Strong
ASV61_ANPR	ASV1_Mesorhizobium	0.001	-0.5283	Negative	Strong	Negative_Strong
ASV68_Mesorhizobium	ASV1_Mesorhizobium	0.001	-0.5454	Negative	Strong	Negative_Strong
ASV72_ANPR	ASV1_Mesorhizobium	0.001	-0.645	Negative	Strong	Negative_Strong
ASV75_ANPR	ASV1_Mesorhizobium	0.001	-0.6668	Negative	Strong	Negative_Strong
ASV78_ANPR	ASV1_Mesorhizobium	0.001	-0.6473	Negative	Strong	Negative_Strong
ASV82_ANPR	ASV1_Mesorhizobium	0.001	-0.6181	Negative	Strong	Negative_Strong
ASV89_ANPR	ASV1_Mesorhizobium	0.001	-0.6505	Negative	Strong	Negative_Strong
ASV9_ANPR	ASV1_Mesorhizobium	0.004	-0.499	Negative	Strong	Negative_Strong
ASV95_ANPR	ASV1_Mesorhizobium	0.001	-0.6426	Negative	Strong	Negative_Strong
ASV15_Mesorhizobium	ASV1032_unknown	0.001	-0.376	Negative	Weak	Negative_Weak
ASV21_ANPR	ASV1032_unknown	0.008	-0.304	Negative	Weak	Negative_Weak
ASV218_Variovorax	ASV1032_unknown	0.001	0.6029	Positive	Strong	Positive_Strong
ASV31_Mesorhizobium	ASV1032_unknown	0.007	-0.2931	Negative	Weak	Negative_Weak
ASV37_unknown	ASV1032_unknown	0.006	-0.2775	Negative	Weak	Negative_Weak
ASV382_Mesorhizobium	ASV1032_unknown	0.004	0.378	Positive	Weak	Positive_Weak
ASV39_unknown	ASV1032_unknown	0.01	-0.2624	Negative	Weak	Negative_Weak
ASV41_unknown	ASV1032_unknown	0.007	-0.3166	Negative	Weak	Negative_Weak
