"Class","Family","Genus","Kingdom","name","Order","Phylum","RAmean","RARange","RAsum","selected","shared name","X"
"Gammaproteobacteria","Burkholderiaceae","Herbaspirillum","Bacteria","ASV165_Herbaspirillum","Betaproteobacteriales","Proteobacteria","6.16767330642508E-5","Q2","0.00616767330642508","false","ASV165_Herbaspirillum","ASV165"
"Alphaproteobacteria","Rhizobiaceae","ANPR","Bacteria","ASV451_ANPR","Rhizobiales","Proteobacteria","1.51951714014552E-5","Q1","0.00151951714014552","false","ASV451_ANPR","ASV451"
"Alphaproteobacteria","Rhizobiaceae","unknown","Bacteria","ASV667_unknown","Rhizobiales","Proteobacteria","1.06008120423249E-5","Q1","0.00106008120423249","false","ASV667_unknown","ASV667"
"Gammaproteobacteria","Pseudomonadaceae","Pseudomonas","Bacteria","ASV28_Pseudomonas","Pseudomonadales","Proteobacteria","0.00308177461463861","Q4","0.308177461463861","false","ASV28_Pseudomonas","ASV28"
"Alphaproteobacteria","Caulobacteraceae","Caulobacter","Bacteria","ASV77_Caulobacter","Caulobacterales","Proteobacteria","1.88776761181907E-4","Q3","0.0188776761181907","false","ASV77_Caulobacter","ASV77"
"Alphaproteobacteria","Rhizobiaceae","unknown","Bacteria","ASV632_unknown","Rhizobiales","Proteobacteria","9.33281868407257E-6","Q1","9.33281868407257E-4","false","ASV632_unknown","ASV632"
"Alphaproteobacteria","NA","unknown","Bacteria","ASV560_unknown","NA","Proteobacteria","1.07892775162707E-5","Q1","0.00107892775162707","false","ASV560_unknown","ASV560"
"Alphaproteobacteria","NA","unknown","Bacteria","ASV523_unknown","Rhizobiales","Proteobacteria","1.1843379278497E-5","Q1","0.0011843379278497","false","ASV523_unknown","ASV523"
"Alphaproteobacteria","Caulobacteraceae","Caulobacter","Bacteria","ASV401_Caulobacter","Caulobacterales","Proteobacteria","1.58427477661726E-5","Q1","0.00158427477661726","false","ASV401_Caulobacter","ASV401"
"Gammaproteobacteria","Pseudomonadaceae","Pseudomonas","Bacteria","ASV171_Pseudomonas","Pseudomonadales","Proteobacteria","1.42582232876042E-4","Q3","0.0142582232876042","false","ASV171_Pseudomonas","ASV171"
"Alphaproteobacteria","Rhizobiaceae","unknown","Bacteria","ASV581_unknown","Rhizobiales","Proteobacteria","1.24726267555522E-5","Q1","0.00124726267555522","false","ASV581_unknown","ASV581"
"Alphaproteobacteria","Rhizobiaceae","ANPR","Bacteria","ASV311_ANPR","Rhizobiales","Proteobacteria","2.82049568630323E-5","Q2","0.00282049568630323","false","ASV311_ANPR","ASV311"
"Alphaproteobacteria","Rhizobiaceae","Mesorhizobium","Bacteria","ASV4_Mesorhizobium","Rhizobiales","Proteobacteria","0.0162390598506608","Q4","1.62390598506608","false","ASV4_Mesorhizobium","ASV4"
"Alphaproteobacteria","Caulobacteraceae","Caulobacter","Bacteria","ASV853_Caulobacter","Caulobacterales","Proteobacteria","6.70705957594197E-6","Q1","6.70705957594197E-4","false","ASV853_Caulobacter","ASV853"
"Gammaproteobacteria","Burkholderiaceae","Rhizobacter","Bacteria","ASV836_Rhizobacter","Betaproteobacteriales","Proteobacteria","6.04734352498629E-6","Q1","6.04734352498629E-4","false","ASV836_Rhizobacter","ASV836"
"Gammaproteobacteria","Burkholderiaceae","Duganella","Bacteria","ASV315_Duganella","Betaproteobacteriales","Proteobacteria","4.15564029305685E-5","Q2","0.00415564029305685","false","ASV315_Duganella","ASV315"
"Gammaproteobacteria","Burkholderiaceae","Duganella","Bacteria","ASV249_Duganella","Betaproteobacteriales","Proteobacteria","4.55091642117406E-5","Q2","0.00455091642117406","false","ASV249_Duganella","ASV249"
"Gammaproteobacteria","Burkholderiaceae","Achromobacter","Bacteria","ASV234_Achromobacter","Betaproteobacteriales","Proteobacteria","3.4936239909384E-5","Q2","0.0034936239909384","false","ASV234_Achromobacter","ASV234"
"Gammaproteobacteria","Burkholderiaceae","Achromobacter","Bacteria","ASV229_Achromobacter","Betaproteobacteriales","Proteobacteria","4.86759715596958E-5","Q2","0.00486759715596958","false","ASV229_Achromobacter","ASV229"
"Alphaproteobacteria","Rhizobiaceae","Mesorhizobium","Bacteria","ASV2_Mesorhizobium","Rhizobiales","Proteobacteria","0.0911486820199245","Q4","9.11486820199245","false","ASV2_Mesorhizobium","ASV2"
"Gammaproteobacteria","Burkholderiaceae","Duganella","Bacteria","ASV156_Duganella","Betaproteobacteriales","Proteobacteria","8.73415721691626E-5","Q3","0.00873415721691626","false","ASV156_Duganella","ASV156"
"Alphaproteobacteria","Rhizobiaceae","Mesorhizobium","Bacteria","ASV1223_Mesorhizobium","Rhizobiales","Proteobacteria","4.76869498173966E-6","Q1","4.76869498173966E-4","false","ASV1223_Mesorhizobium","ASV1223"
"Alphaproteobacteria","Rhizobiaceae","Mesorhizobium","Bacteria","ASV359_Mesorhizobium","Rhizobiales","Proteobacteria","1.80631461037121E-5","Q1","0.00180631461037121","false","ASV359_Mesorhizobium","ASV359"
"Gammaproteobacteria","Methylophilaceae","Methylovorus","Bacteria","ASV519_Methylovorus","Betaproteobacteriales","Proteobacteria","1.03920126567899E-5","Q1","0.00103920126567899","false","ASV519_Methylovorus","ASV519"
"Gammaproteobacteria","Burkholderiaceae","Duganella","Bacteria","ASV391_Duganella","Betaproteobacteriales","Proteobacteria","2.29656083622404E-5","Q2","0.00229656083622404","false","ASV391_Duganella","ASV391"
"Gammaproteobacteria","Burkholderiaceae","Rhizobacter","Bacteria","ASV119_Rhizobacter","Betaproteobacteriales","Proteobacteria","8.71495562762872E-5","Q3","0.00871495562762872","false","ASV119_Rhizobacter","ASV119"
